time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst
2017-05-03T12:42:48.150Z,-16.136,-73.4694,48.35,5.1,mww,,129,3.724,0.92,us,us10008nt0,2017-05-03T13:18:37.687Z,"97km WNW of Camana, Peru",earthquake,6.9,6.5,,
2017-05-03T08:53:37.510Z,42.1441,46.9653,10,5.2,mb,,31,2.607,1.34,us,us10008nrz,2017-05-03T09:46:41.853Z,"12km WSW of Kumukh, Russia",earthquake,4.7,1.7,0.034,290
2017-05-03T05:36:31.350Z,39.5178,71.3464,10,4.8,mb,,61,0.675,1.46,us,us10008nqk,2017-05-03T05:53:14.040Z,"34km NNW of Karakenja, Tajikistan",earthquake,4.9,1.5,0.078,51
2017-05-03T05:09:52.690Z,-59.7975,-27.4022,122.43,5,mb,,52,8.666,0.71,us,us10008nqa,2017-05-03T05:30:56.040Z,"98km SSW of Bristol Island, South Sandwich Islands",earthquake,11.1,6.8,0.082,48
2017-05-03T05:08:48.720Z,71.1991,-8.563,10,4.8,mb,,54,4.468,0.71,us,us10008nq8,2017-05-03T05:57:14.040Z,"31km N of Olonkinbyen, Svalbard and Jan Mayen",earthquake,3.4,1.9,0.053,110
2017-05-03T04:47:13.540Z,39.51,71.4027,10,5.9,mww,,46,0.708,1.08,us,us10008npq,2017-05-03T16:23:00.040Z,"32km NNW of Karakenja, Tajikistan",earthquake,4.7,1.9,,
2017-05-03T04:46:55.590Z,39.533,71.3138,10,4.8,mb,,51,0.648,1.21,us,us10008npr,2017-05-03T12:49:33.628Z,"37km NNW of Karakenja, Tajikistan",earthquake,5,1.9,0.057,94
2017-05-03T04:43:52.370Z,-13.7494,167.1747,194.53,4.6,mb,,67,6.989,0.72,us,us10008npp,2017-05-03T05:03:29.040Z,"43km WNW of Sola, Vanuatu",earthquake,10.1,7.6,0.064,73
2017-05-02T21:12:11.540Z,35.8557,60.5732,10,5.1,mb,,53,2.005,0.79,us,us10008nl9,2017-05-03T07:31:57.948Z,"68km N of Torbat-e Jam, Iran",earthquake,6.6,1.9,0.05,133
2017-05-02T20:02:46.120Z,-9.6058,111.8188,12.69,4.6,mb,,72,2.114,1.22,us,us10008nkc,2017-05-02T21:14:41.040Z,"147km SSW of Tambakrejo, Indonesia",earthquake,6.5,4.6,0.067,69
2017-05-02T15:10:22.370Z,-11.7183,-13.9218,10,5.9,mww,,57,3.786,0.47,us,us10008n0i,2017-05-02T20:09:26.040Z,Ascension Island region,earthquake,9.1,1.8,0.073,18
2017-05-02T14:07:00.140Z,-24.2446,-175.7616,10,5.1,mb,,91,7.474,0.84,us,us10008n03,2017-05-02T15:44:37.040Z,South of Tonga,earthquake,11.4,1.8,0.081,49
2017-05-02T13:36:50.320Z,38.0063,20.3574,10,4.5,mb,,136,1.494,1.39,us,us10008mzs,2017-05-02T15:18:18.040Z,"22km SSW of Argostolion, Greece",earthquake,4.1,1.8,0.128,18
2017-05-02T00:51:51.110Z,-14.779,167.4574,148.68,4.7,mb,,72,5.969,0.87,us,us10008mv0,2017-05-02T01:10:40.040Z,"53km NE of Port-Olry, Vanuatu",earthquake,11.1,8,0.08,47
2017-05-01T16:30:42.570Z,38.2323,42.9158,10,4.5,mb,,51,0.137,0.89,us,us10008mku,2017-05-01T18:19:18.040Z,"15km NE of Bahcesaray, Turkey",earthquake,5,1.9,0.097,31
2017-05-01T15:42:18.290Z,-5.9726,130.6808,137.63,4.5,mb,,103,2.089,0.64,us,us10008mjh,2017-05-01T17:11:24.040Z,"229km NNW of Saumlaki, Indonesia",earthquake,7.7,8.2,0.076,51
2017-05-01T14:59:10.530Z,59.7433,-136.583,5.92,-4.5,mb,,94,0.596,0.67,us,us10008mi7,2017-05-02T02:39:37.850Z,"78km WNW of Skagway, Alaska",earthquake,4.9,2.4,0.384,2
2017-05-01T14:26:56.870Z,0.0341,123.4478,139.64,4.6,mb,,53,1.264,0.77,us,us10008mhj,2017-05-01T16:49:43.040Z,"46km SE of Bilungala, Indonesia",earthquake,8.1,6.1,0.087,39
2017-05-01T14:18:17.580Z,59.7708,-136.689,20,6.3,mww,,34,0.55,1.02,us,us10008mgu,2017-05-03T01:24:51.122Z,"85km WNW of Skagway, Alaska",earthquake,4.6,1.5,,
2017-05-01T13:48:05.640Z,43.6258,-28.7723,10,4.8,mb,,50,4.916,0.71,us,us10008mgj,2017-05-01T15:20:21.040Z,Northern Mid-Atlantic Ridge,earthquake,9.8,1.9,0.043,167
2017-05-01T12:49:18.810Z,59.8685,-136.8369,4.58,5.2,mb,,79,0.515,0.85,us,us10008mes,2017-05-02T06:04:23.493Z,"97km WNW of Skagway, Alaska",earthquake,4.3,3.8,0.122,22
2017-05-01T12:31:54.500Z,59.8438,-136.6945,2.18,6.2,mww,,28,0.57,0.94,us,us10008mel,2017-05-03T07:48:36.507Z,"88km WNW of Skagway, Alaska",earthquake,4.4,3.3,,
2017-05-01T11:08:18.240Z,0.3351,-17.5231,10,4.9,mb,,165,14.117,0.53,us,us10008mef,2017-05-01T11:26:22.040Z,North of Ascension Island,earthquake,14.4,1.9,0.088,41
2017-05-01T10:43:20.910Z,-9.5381,111.802,36.88,4.8,mb,,101,2.051,0.92,us,us10008me9,2017-05-01T12:32:20.040Z,"140km SSW of Tambakrejo, Indonesia",earthquake,8.1,6.7,0.099,31
2017-05-01T08:36:27.020Z,7.0758,-104.4985,10,4.9,mb,,173,11.923,0.96,us,us10008mdv,2017-05-01T09:09:53.040Z,Northern East Pacific Rise,earthquake,12.5,1.9,0.028,388
2017-05-01T08:35:21.310Z,6.8596,-104.4414,10,4.5,mb,,182,12.086,0.74,us,us10008mdw,2017-05-01T13:04:58.040Z,Galapagos Triple Junction region,earthquake,13.4,1.9,0.049,121
2017-05-01T08:28:40.880Z,-37.5026,177.7638,148.25,4.6,mb,,92,0.435,1.26,us,us10008mdp,2017-05-01T12:42:43.040Z,"77km NNE of Opotiki, New Zealand",earthquake,10.9,7.6,0.111,24
2017-05-01T07:17:30.200Z,6.9717,-104.4152,10,500.3,mb,,194,11.975,0.65,us,us10008mdc,2017-05-01T07:38:28.040Z,Galapagos Triple Junction region,earthquake,11.8,1.9,0.026,493
2017-05-01T05:36:56.570Z,-8.3767,120.9828,187.51,4.6,mb,,46,1.267,1.22,us,us10008md6,2017-05-01T06:36:04.040Z,"3km NNW of Mbarungkeli, Indonesia",earthquake,6.8,4.9,0.106,27
